需求ID	类型	任务ID	代码实现	测试用例	验收条目	状态	证据
FR-1-1	FR	T1-101;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/GatewayBootstrap.java;gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/ServerPipelineFactory.java	GatewayBootstrapTests;ServerPipelineFactoryTests	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/GatewayBootstrapTests.java
FR-1-2	FR	T1-102;T1-201;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/routing/StaticRouteService.java;gateway-server/src/main/java/com/lei/java/gateway/server/config/RouteConfig.java	StaticRouteServiceTests;HttpProxyIT	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/routing/StaticRouteServiceTests.java;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyIT.java
FR-1-3	FR	T1-103;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	HttpProxyIT	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyIT.java
FR-1-4	FR	T1-104;T1-202;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/http/DefaultHeaderPolicyService.java;gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	DefaultHeaderPolicyServiceTests;HttpProxyIT	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/http/DefaultHeaderPolicyServiceTests.java
FR-1-5	FR	T1-105;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	HttpProxyIT	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyIT.java
FR-1-6	FR	T1-106;T1-203;T1-205	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java;gateway-server/src/main/java/com/lei/java/gateway/server/proxy/DefaultTimeoutPolicy.java	DefaultTimeoutPolicyTests;HttpProxyFailureIT	AC-1-3	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyFailureIT.java
FR-1-7	FR	T1-107;T1-205	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	AccessLogIT	AC-1-1;AC-1-2	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/AccessLogIT.java
FR-1-8	FR	T1-107;T1-204	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java;gateway-server/src/main/java/com/lei/java/gateway/server/config/GatewayServerConfig.java	HealthEndpointIT;PrometheusEndpointIT	AC-1-1	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HealthEndpointIT.java;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/PrometheusEndpointIT.java
FR-1-9	FR	T1-108;T1-203;T1-205	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java;gateway-server/src/main/java/com/lei/java/gateway/server/http/DefaultErrorResponseMapper.java;gateway-server/src/main/java/com/lei/java/gateway/server/http/ErrorResponse.java	DefaultErrorResponseMapperTests;HttpProxyFailureIT	AC-1-2	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/http/DefaultErrorResponseMapperTests.java
NFR-1-1	NFR	T1-109;T1-206	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java;gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/GatewayBootstrap.java	GatewayBootstrapTests;HttpProxyFailureIT;BacklogProtectionIT	AC-1-4	PASS	docs/design/stage1/02-阶段1-任务分解.md;docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/BacklogProtectionIT.java
NFR-1-2	NFR	T1-101;T1-206	gateway-server/src/main/java/com/lei/java/gateway/server/config/GatewayServerConfig.java;gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/GatewayBootstrap.java	GatewayServerConfigTests	AC-1-4	PASS	docs/design/stage1/03-阶段1-详细设计.md;gateway-server/src/test/java/com/lei/java/gateway/server/config/GatewayServerConfigTests.java
NFR-1-3	NFR	T1-206	scripts/perf/stage1/run-stage1-ac4.sh;scripts/perf/stage1/gatling/Stage1ProxySimulation.java	Stage1ProxySimulation;run-stage1-ac4.sh	AC-1-4	PASS	scripts/perf/stage1/README.md;docs/requirements/evidence/stage1/T1-206-压测与稳定性报告.md
NFR-1-4	NFR	T1-206;T1-302	scripts/perf/stage1/sample-runtime-metrics.sh;scripts/perf/stage1/evaluate-stability-thresholds.sh;scripts/perf/stage1/run-stage1-ac4.sh	run-stage1-ac4.sh;sample-runtime-metrics.sh;evaluate-stability-thresholds.sh	AC-1-4	PASS	scripts/perf/stage1/README.md;docs/requirements/evidence/stage1/T1-206-压测与稳定性报告.md;reports/stage1/ac4-final/stability-summary.txt
AC-1-1	AC	T1-204;T1-301	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	HttpProxyIT	AC-1-1	PASS	docs/design/stage1/02-阶段1-任务分解.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyIT.java
AC-1-2	AC	T1-205;T1-301	gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java;gateway-server/src/main/java/com/lei/java/gateway/server/http/DefaultErrorResponseMapper.java	HttpProxyFailureIT;DefaultErrorResponseMapperTests	AC-1-2	PASS	docs/design/stage1/02-阶段1-任务分解.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyFailureIT.java
AC-1-3	AC	T1-203;T1-205;T1-301	gateway-server/src/main/java/com/lei/java/gateway/server/proxy/DefaultTimeoutPolicy.java;gateway-server/src/main/java/com/lei/java/gateway/server/bootstrap/DefaultHttpServerHandler.java	DefaultTimeoutPolicyTests;HttpProxyFailureIT	AC-1-3	PASS	docs/design/stage1/02-阶段1-任务分解.md;gateway-server/src/test/java/com/lei/java/gateway/server/bootstrap/HttpProxyFailureIT.java
AC-1-4	AC	T1-206;T1-302;T1-301	scripts/perf/stage1/run-stage1-ac4.sh;scripts/perf/stage1/sample-runtime-metrics.sh;scripts/perf/stage1/evaluate-stability-thresholds.sh	Stage1ProxySimulation;run-stage1-ac4.sh;sample-runtime-metrics.sh;evaluate-stability-thresholds.sh	AC-1-4	PASS	docs/requirements/evidence/stage1/T1-206-压测与稳定性报告.md;scripts/perf/stage1/README.md;reports/stage1/ac4-final/runtime-metrics.csv
